Exp,Site,Hole,Core,CoreType,Section,TopDepth,BottomDepth,CuratedLength
GLAD9-PET06,1,B,2,H,2,3.095,4.38,1.285
GLAD9-PET06,1,B,2,H,3,4.38,4.43,0.05
GLAD9-PET06,1,B,2,H,9,4.43,4.45,0.02
GLAD9-PET06,1,B,3,H,1,4.6,6.11,1.51
GLAD9-PET06,1,B,3,H,2,6.11,7.522,1.412
GLAD9-PET06,1,B,3,H,9,7.522,7.572,0.05
GLAD9-PET06,1,B,4,H,1,7.6,9.115,1.515
GLAD9-PET06,1,B,4,H,2,9.115,10.305,1.19
GLAD9-PET06,1,B,4,H,3,10.305,10.355,0.05
GLAD9-PET06,1,B,4,H,9,10.355,10.395,0.04
GLAD9-PET06,1,B,5,H,1,10.6,12.105,1.505
GLAD9-PET06,1,B,5,H,2,12.105,13.4,1.295
GLAD9-PET06,1,B,5,H,3,13.4,13.45,0.05
GLAD9-PET06,1,B,5,H,9,13.45,13.5,0.05
GLAD9-PET06,1,B,6,H,1,13.6,15.112,1.512
GLAD9-PET06,1,B,6,H,2,15.112,16.457,1.345
GLAD9-PET06,1,B,6,H,3,16.457,16.507,0.05
GLAD9-PET06,1,B,6,H,9,16.507,16.577,0.07
GLAD9-PET06,1,B,7,H,1,16.53,18.05,1.52
GLAD9-PET06,1,B,7,H,2,18.05,19.075,1.025
GLAD9-PET06,1,B,7,H,3,19.075,19.125,0.05
GLAD9-PET06,1,B,7,H,9,19.125,19.22,0.095
GLAD9-PET06,1,B,8,H,1,19.43,20.93748752,1.51
GLAD9-PET06,1,B,8,H,2,20.93748752,22.30021631,1.365
GLAD9-PET06,1,B,8,H,3,22.30021631,22.35013311,0.05
GLAD9-PET06,1,B,8,H,9,22.35013311,22.43,0.08
GLAD9-PET06,1,B,9,H,1,22.43,23.92303251,1.5
GLAD9-PET06,1,B,9,H,2,23.92303251,25.34539482,1.429
GLAD9-PET06,1,B,9,H,9,25.34539482,25.43,0.085
GLAD9-PET06,1,B,10,H,1,25.43,26.1,0.67
GLAD9-PET06,1,B,10,H,2,26.1,26.98,0.88
GLAD9-PET06,1,B,10,H,9,26.98,27.08,0.1
GLAD9-PET06,1,B,11,H,1,27.13,28.63549817,1.506
GLAD9-PET06,1,B,11,H,2,28.63549817,30.05002666,1.415
GLAD9-PET06,1,B,11,H,9,30.05002666,30.13,0.08
GLAD9-PET06,1,B,12,H,1,30.13,31.6314985,1.503
GLAD9-PET06,1,B,12,H,2,31.6314985,33.05507493,1.425
GLAD9-PET06,1,B,12,H,9,33.05507493,33.13,0.075
GLAD9-PET06,1,B,13,H,1,33.13,34.28,1.15
GLAD9-PET06,1,B,13,H,2,34.28,35.335,1.055
GLAD9-PET06,1,B,13,H,3,35.335,35.385,0.05
GLAD9-PET06,1,B,14,H,1,35.73,37.22045405,1.491
GLAD9-PET06,1,B,14,H,2,37.22045405,38.36003662,1.14
GLAD9-PET06,1,B,14,H,9,38.36003662,38.46,0.1
GLAD9-PET06,1,B,15,H,1,38.46,39.95209158,1.502
GLAD9-PET06,1,B,15,H,2,39.95209158,40.92065968,0.975
GLAD9-PET06,1,B,15,H,3,40.92065968,40.98026387,0.06
GLAD9-PET06,1,B,15,H,9,40.98026387,41.02,0.04
GLAD9-PET06,1,B,16,H,1,41.02,42.51600607,1.504
GLAD9-PET06,1,B,16,H,2,42.51600607,43.52063781,1.01
GLAD9-PET06,1,B,16,H,9,43.52063781,43.64,0.12
GLAD9-PET06,1,B,17,H,1,43.64,43.82526316,0.2
GLAD9-PET06,1,B,17,H,2,43.82526316,45.21936842,1.505
GLAD9-PET06,1,B,17,H,3,45.21936842,45.78442105,0.61
GLAD9-PET06,1,B,17,H,9,45.78442105,45.84,0.06
GLAD9-PET06,1,B,18,H,1,45.84,47.3322813,1.5
GLAD9-PET06,1,B,18,H,2,47.3322813,48.62559177,1.3
GLAD9-PET06,1,B,18,H,3,48.62559177,48.69025729,0.065
GLAD9-PET06,1,B,18,H,9,48.69025729,48.74,0.05
GLAD9-PET06,1,B,19,H,1,48.74,50.13130435,1.44
GLAD9-PET06,1,B,19,H,2,50.13130435,51.52743961,1.445
GLAD9-PET06,1,B,19,H,3,51.52743961,51.66270531,0.14
GLAD9-PET06,1,B,19,H,9,51.66270531,51.74,0.08
GLAD9-PET06,1,B,20,H,1,51.74,51.89,0.15
GLAD9-PET06,1,B,20,H,2,51.89,53.25,1.36
GLAD9-PET06,1,B,20,H,3,53.25,54.4,1.15
GLAD9-PET06,1,B,20,H,4,54.4,54.53,0.13
GLAD9-PET06,1,B,20,H,9,54.53,54.58,0.05
GLAD9-PET06,1,B,21,H,1,54.74,55.43615385,0.905
GLAD9-PET06,1,B,21,H,2,55.43615385,56.20923077,1.005
GLAD9-PET06,1,B,21,H,9,56.20923077,56.24,0.04
GLAD9-PET06,1,B,22,H,1,56.24,56.92983137,0.9
GLAD9-PET06,1,B,22,H,2,56.92983137,57.49855902,0.742
GLAD9-PET06,1,B,22,H,3,57.49855902,57.70934083,0.275
GLAD9-PET06,1,B,22,H,9,57.70934083,57.74,0.04
GLAD9-PET06,1,B,23,H,1,57.74,58.04,0.3
GLAD9-PET06,1,B,23,H,2,58.04,59.274,1.234
GLAD9-PET06,1,B,23,H,3,59.274,60.639,1.365
GLAD9-PET06,1,B,23,H,4,60.639,60.689,0.05
GLAD9-PET06,1,B,23,H,9,60.689,60.729,0.04
GLAD9-PET06,1,B,24,H,1,60.74,62.16034549,1.48
GLAD9-PET06,1,B,24,H,2,62.16034549,62.93865643,0.811
GLAD9-PET06,1,B,24,H,3,62.93865643,63.64403071,0.735
GLAD9-PET06,1,B,24,H,4,63.64403071,63.70161228,0.06
GLAD9-PET06,1,B,24,H,9,63.70161228,63.74,0.04
GLAD9-PET06,1,B,25,H,1,63.74,65.255,1.515
GLAD9-PET06,1,B,25,H,2,65.255,66.479,1.224
GLAD9-PET06,1,B,25,H,9,66.479,66.519,0.04
GLAD9-PET06,1,B,26,H,1,66.74,68.255,1.515
GLAD9-PET06,1,B,26,H,2,68.255,69.305,1.05
GLAD9-PET06,1,B,26,H,3,69.305,69.355,0.05
GLAD9-PET06,1,B,26,H,9,69.355,69.395,0.04
GLAD9-PET06,1,B,27,H,1,69.74,70.71463948,0.98
GLAD9-PET06,1,B,27,H,2,70.71463948,71.65049229,0.941
GLAD9-PET06,1,B,27,H,3,71.65049229,71.7002188,0.05
GLAD9-PET06,1,B,27,H,9,71.7002188,71.74,0.04
GLAD9-PET06,1,B,28,H,1,71.74,73.225,1.485
GLAD9-PET06,1,B,28,H,2,73.225,74.275,1.05
GLAD9-PET06,1,B,29,H,1,74.74,75.73,0.99
GLAD9-PET06,1,B,29,H,2,75.73,76.61,0.88
GLAD9-PET06,1,B,29,H,3,76.61,77.523,0.913
GLAD9-PET06,1,B,29,H,9,77.523,77.613,0.09
GLAD9-PET06,1,B,30,H,1,76.74,78.24,1.5
GLAD9-PET06,1,B,30,H,2,78.24,79.14,0.9
GLAD9-PET06,1,B,30,H,9,79.14,79.19,0.05
GLAD9-PET06,1,B,31,H,1,78.74,79.775,1.035
GLAD9-PET06,1,B,31,H,2,79.775,80.89,1.115
