Site,Hole,Core,CoreType,Depth CSF (m),Depth CCSF (m),Offset,Differential Offset (m),Growth Rate,Shift Type,Data Used,Quality Comment
1,C,15,H,38.24,37.60269006,-0.637309942,0.19365057,0.96,TIE,,splice
1,C,16,H,41.155,40.42167099,-0.733329006,-0.096019064,0.963,TIE,,splice
1,C,17,H,45.32,45.35470291,0.034702909,0.768031915,0.971,TIE,,splice
1,C,18,H,45.63,55.58670291,9.956702909,9.922,1.037,TIE,,off-splice
1,C,19,H,47.13,47.16470291,0.034702909,-9.922,1.03,TIE,,off-splice
1,C,20,H,50.13,50.16470291,0.034702909,0,1.025,TIE,,off-splice
1,C,21,H,53.13,63.99084577,10.86084577,10.82614286,1.07,TIE,,off-splice
1,C,22,H,56.895,66.79295024,9.897950244,-0.962895522,1.101,TIE,,splice
1,C,23,H,60.36602007,70.46395024,10.09793018,0.199979933,1.123,TIE,,splice
1,C,24,H,62.13,73.55993018,11.42993018,1.332,1.144,TIE,,off-splice
1,C,25,H,65.13,76.55993018,11.42993018,0,1.159,TIE,,off-splice
1,C,26,H,69.18,79.33993018,10.15993018,-1.27,1.165,TIE,,splice
1,C,27,H,70.63,81.06993018,10.43993018,0.28,1.17,TIE,,splice
1,C,28,H,73.71,84.14993018,10.43993018,0,1.172,TIE,,splice
1,C,29,H,76.63,87.04067934,10.41067934,-0.029250836,1.173,TIE,,off-splice
1,C,30,H,79.63,90.04067934,10.41067934,1.42E-14,1.172,TIE,,off-splice
1,C,31,E,81.00829648,92.90567934,11.89738286,1.486703518,1.174,TIE,,splice
